split,target,delta,target_coverage,q_level,q,empirical_coverage,mean_upper_gap,p05_upper_gap,p95_upper_gap,safe_ratio_sanity,false_safe_rate_sanity,unsafe_interception_rate_sanity
calibration,V_embb,0.2,0.8,80,3.4831535816192627,0.8,0.0060510886833071,-0.0052445544861257,0.022216185927391,0.8,0.0,1.0
calibration,V_embb,0.1,0.9,90,5.348437309265137,0.9,0.0118553256615996,-0.0029294590931385,0.0315847471356391,0.7999973333333333,0.0,1.0
calibration,V_embb,0.05,0.95,95,8.131089210510254,0.95,0.0205141566693782,9.604264050722122e-09,0.0457445010542869,0.79998,0.0,1.0
calibration,V_urllc,0.2,0.8,80,1.7658768892288208,0.8,0.0042919013649225,-0.0029339925386011,0.0117024723440408,0.6154,8.66645000541653e-06,0.9999861297492604
calibration,V_urllc,0.1,0.9,90,2.7258310317993164,0.9,0.007141247857362,-0.0012705421540886,0.0165626760572195,0.6151653333333333,2.167438997429417e-06,0.9999965324373152
calibration,V_urllc,0.05,0.95,95,3.602983951568604,0.95,0.0097448239102959,-2.517481334507465e-09,0.0211501065641641,0.6145653333333333,0.0,1.0
calibration,V_total,0.2,0.8,80,2.576596736907959,0.8,0.0031392103992402,-0.0036654975265264,0.0108362678438425,0.8004013333333333,0.0,1.0
calibration,V_total,0.1,0.9,90,3.9047346115112314,0.9,0.0061782873235642,-0.0019273273646831,0.015565188601613,0.8000306666666667,0.0,1.0
calibration,V_total,0.05,0.95,95,5.976590156555176,0.95,0.0109191592782735,4.045432433485985e-09,0.0235000904649496,0.800024,0.0,1.0
validation,V_embb,0.2,0.8,80,3.4831535816192627,0.80251,0.006300276145339,-0.0050375680439174,0.0232159011065959,0.8,0.0,1.0
validation,V_embb,0.1,0.9,90,5.348437309265137,0.903194,0.012149809859693,-0.0027841499540954,0.0327448137104511,0.8,0.0,1.0
validation,V_embb,0.05,0.95,95,8.131089210510254,0.951282,0.0208762027323246,0.0001322761527262,0.0472295172512531,0.79999,0.0,1.0
validation,V_urllc,0.2,0.8,80,1.7658768892288208,0.791646,0.0042863055132329,-0.0030547715723514,0.0118797570466995,0.615318,2.2752462954114783e-05,0.9999636027079584
validation,V_urllc,0.1,0.9,90,2.7258310317993164,0.893636,0.0071477182209491,-0.0013827242655679,0.0168529171496629,0.615022,6.503832383231819e-06,0.9999896007737024
validation,V_urllc,0.05,0.95,95,3.602983951568604,0.94464,0.0097623169422149,-0.0001904993550851,0.0215583052486181,0.614508,0.0,1.0
validation,V_total,0.2,0.8,80,2.576596736907959,0.794268,0.0032138891983777,-0.0035282282624393,0.0112027460709214,0.800432,0.0,1.0
validation,V_total,0.1,0.9,90,3.9047346115112314,0.902282,0.0062790517695248,-0.0017602534499019,0.0160485506057739,0.800004,0.0,1.0
validation,V_total,0.05,0.95,95,5.976590156555176,0.95169,0.0110606122761964,9.356655937153846e-05,0.0238969381898641,0.800004,0.0,1.0
test,V_embb,0.2,0.8,80,3.4831535816192627,0.8044253333333333,0.0063052009791135,-0.0051788012497127,0.0229278095066547,0.8,0.0,1.0
test,V_embb,0.1,0.9,90,5.348437309265137,0.9035866666666666,0.012247085571289,-0.0027678650803864,0.0326022244989872,0.7999986666666666,0.0,1.0
test,V_embb,0.05,0.95,95,8.131089210510254,0.952264,0.0211112610995769,0.0002054802025668,0.0471473857760429,0.799972,0.0,1.0
test,V_urllc,0.2,0.8,80,1.7658768892288208,0.7945973333333334,0.0043064239434897,-0.0027874617371708,0.0119238421320915,0.615264,3.684055408193339e-05,0.9999410602225844
test,V_urllc,0.1,0.9,90,2.7258310317993164,0.89634,0.0071731046773493,-0.001293419743888,0.0169699471443891,0.6149373333333333,8.672970470703789e-06,0.9999861318170786
test,V_urllc,0.05,0.95,95,3.602983951568604,0.947404,0.0097925225272774,-9.377348033012822e-05,0.02171116694808,0.6143186666666667,6.511278619782566e-06,0.999989598862809
test,V_total,0.2,0.8,80,2.576596736907959,0.7966533333333333,0.0032393613364547,-0.0040815407410264,0.0109736202284693,0.8003906666666667,0.0,1.0
test,V_total,0.1,0.9,90,3.9047346115112314,0.9009106666666666,0.0063439067453145,-0.0021553020924329,0.0159609671682119,0.800004,0.0,1.0
test,V_total,0.05,0.95,95,5.976590156555176,0.9481493333333332,0.011186902411282,-0.0001061727816704,0.0240384340286254,0.8,0.0,1.0
