section,metric,value
digital_twin_prediction,V_embb_mae_test,0.0020814300514757
digital_twin_prediction,V_embb_rmse_test,0.0034052554983645
digital_twin_prediction,V_embb_r2_test,0.9994987935624112
digital_twin_prediction,V_urllc_mae_test,0.0013988350983709
digital_twin_prediction,V_urllc_rmse_test,0.0024665526580065
digital_twin_prediction,V_urllc_r2_test,0.9980173509825104
digital_twin_prediction,management_utility_mae_test,0.0018974355189129
digital_twin_prediction,management_utility_rmse_test,0.0032117734663188
digital_twin_prediction,management_utility_r2_test,0.9990836973396784
calibrated_certificate,V_embb_q90_empirical_coverage,0.9
calibrated_certificate,V_embb_q90_factor,5.348437309265137
calibrated_certificate,V_urllc_q90_empirical_coverage,0.9
calibrated_certificate,V_urllc_q90_factor,2.7258310317993164
certified_safe_set,safe_ratio,0.60001
certified_safe_set,false_safe_rate,1.666638889351844e-05
certified_safe_set,safe_precision,0.9999833336111064
certified_safe_set,unsafe_interception_rate,0.999975
candidate_shielding_sanity,raw_true_unsafe_rate,0.70285
candidate_shielding_sanity,shielded_true_unsafe_rate,4.999999999999449e-05
candidate_shielding_sanity,utility_retention,0.9098642083439196
candidate_shielding_sanity,mean_action_distance,14.7588
candidate_shielding_sanity,fallback_rate,0.0
